Cow_id, Pixel_id, times of visiting back to pixel, Interval days,Vegetation class,Northing,Easting
14492,1024,1,0,2,,5132809.3,434723.6
14492,1,12,16,4,,5132194.3,434273.6
14492,2,7,11,4,,5132209.3,434273.6
14492,3074,1,0,3,,5133514.3,434738.6
14492,2050,1,0,1,,5133184.3,434963.6
14492,3,2,8,4,,5132209.3,434288.6
14492,2051,1,0,1,,5133184.3,434978.6
14492,4,6,11,4,,5132224.3,434273.6
14492,3076,1,0,2,,5133514.3,434768.6
14492,1028,2,4,4,,5132809.3,434783.6
14492,1029,1,0,4,,5132809.3,434798.6
14492,3077,1,0,4,,5133514.3,434783.6
14492,1030,1,0,4,,5132809.3,434813.6
14492,8,4,13,4,,5132239.3,434288.6
14492,16,1,0,4,,5132254.3,434348.6
14492,1040,1,0,2,,5132809.3,434963.6
14492,1042,2,13,2,,5132809.3,434993.6
14492,19,2,6,4,,5132269.3,434303.6
14492,20,1,0,4,,5132269.3,434318.6
14492,2069,1,0,1,,5133199.3,434603.6
14492,1047,1,0,3,,5132824.3,434498.6
14492,23,1,0,4,,5132269.3,434363.6
14492,1048,1,0,3,,5132824.3,434513.6
14492,1050,1,0,3,,5132824.3,434543.6
14492,2075,1,0,2,,5133199.3,434693.6
14492,28,1,0,4,,5132284.3,434333.6
14492,1052,1,0,3,,5132824.3,434573.6
14492,29,1,0,4,,5132284.3,434348.6
14492,1053,1,0,2,,5132824.3,434588.6
14492,3101,2,9,4,,5133514.3,435143.6
14492,2077,1,0,2,,5133199.3,434723.6
14492,31,2,6,4,,5132284.3,434378.6
14492,32,1,0,4,,5132284.3,434393.6
14492,33,1,0,4,,5132284.3,434408.6
14492,36,2,4,4,,5132299.3,434318.6
14492,37,1,0,4,,5132299.3,434333.6
14492,1061,1,0,2,,5132824.3,434708.6
14492,2086,1,0,2,,5133199.3,434858.6
14492,38,1,0,4,,5132299.3,434348.6
14492,1063,1,0,4,,5132824.3,434738.6
14492,39,1,0,4,,5132299.3,434363.6
14492,1064,1,0,4,,5132824.3,434753.6
14492,1066,1,0,4,,5132824.3,434783.6
14492,43,1,0,4,,5132299.3,434423.6
14492,2092,1,0,4,,5133199.3,434948.6
14492,2093,1,0,1,,5133199.3,434963.6
14492,2096,1,0,1,,5133199.3,435008.6
14492,1075,1,0,2,,5132824.3,434918.6
14492,52,2,5,4,,5132314.3,434393.6
14492,2101,1,0,3,,5133199.3,435083.6
14492,57,1,0,4,,5132314.3,434468.6
14492,1083,1,0,1,,5132839.3,434468.6
14492,61,2,7,4,,5132329.3,434333.6
14492,2109,1,0,1,,5133214.3,434558.6
14492,1086,1,0,3,,5132839.3,434513.6
14492,2110,1,0,1,,5133214.3,434573.6
14492,1090,1,0,2,,5132839.3,434573.6
14492,66,1,0,4,,5132329.3,434408.6
14492,1092,1,0,2,,5132839.3,434603.6
14492,71,1,0,2,,5132329.3,434483.6
14492,1095,1,0,4,,5132839.3,434648.6
14492,2121,1,0,2,,5133214.3,434738.6
14492,1098,1,0,4,,5132839.3,434693.6
14492,2122,1,0,2,,5133214.3,434753.6
14492,1099,2,1,4,,5132839.3,434708.6
14492,2123,1,0,2,,5133214.3,434768.6
14492,3148,1,0,1,,5133529.3,435038.6
14492,76,2,4,4,,5132344.3,434348.6
14492,1101,2,14,4,,5132839.3,434738.6
14492,2125,1,0,3,,5133214.3,434798.6
14492,2126,1,0,2,,5133214.3,434813.6
