Cow_id, Years, Pixel_id, times of visiting back to pixel, period value,Vegetation class,Northing,Easting
14492,2015,1024,1,\N,2,5132809.3,434723.6
14492,2015,1,12,1.4545454545454546,4,5132194.3,434273.6
14492,2015,2,7,1.8333333333333333,4,5132209.3,434273.6
14492,2015,3074,1,\N,3,5133514.3,434738.6
14492,2015,2050,1,\N,1,5133184.3,434963.6
14492,2015,3,2,8.0,4,5132209.3,434288.6
14492,2015,2051,1,\N,1,5133184.3,434978.6
14492,2015,4,6,2.2,4,5132224.3,434273.6
14492,2015,3076,1,\N,2,5133514.3,434768.6
14492,2015,1028,2,4.0,4,5132809.3,434783.6
14492,2015,1029,1,\N,4,5132809.3,434798.6
14492,2015,3077,1,\N,4,5133514.3,434783.6
14492,2015,1030,1,\N,4,5132809.3,434813.6
14492,2015,8,4,4.333333333333333,4,5132239.3,434288.6
14492,2015,16,1,\N,4,5132254.3,434348.6
14492,2015,1040,1,\N,2,5132809.3,434963.6
14492,2015,1042,2,13.0,2,5132809.3,434993.6
14492,2015,19,2,6.0,4,5132269.3,434303.6
14492,2015,20,1,\N,4,5132269.3,434318.6
14492,2015,2069,1,\N,1,5133199.3,434603.6
14492,2015,1047,1,\N,3,5132824.3,434498.6
14492,2015,23,1,\N,4,5132269.3,434363.6
14492,2015,1048,1,\N,3,5132824.3,434513.6
14492,2015,1050,1,\N,3,5132824.3,434543.6
14492,2015,2075,1,\N,2,5133199.3,434693.6
14492,2015,28,1,\N,4,5132284.3,434333.6
14492,2015,1052,1,\N,3,5132824.3,434573.6
14492,2015,29,1,\N,4,5132284.3,434348.6
14492,2015,1053,1,\N,2,5132824.3,434588.6
14492,2015,3101,2,9.0,4,5133514.3,435143.6
14492,2015,2077,1,\N,2,5133199.3,434723.6
14492,2015,31,2,6.0,4,5132284.3,434378.6
14492,2015,32,1,\N,4,5132284.3,434393.6
14492,2015,33,1,\N,4,5132284.3,434408.6
14492,2015,36,2,4.0,4,5132299.3,434318.6
14492,2015,37,1,\N,4,5132299.3,434333.6
14492,2015,1061,1,\N,2,5132824.3,434708.6
14492,2015,2086,1,\N,2,5133199.3,434858.6
14492,2015,38,1,\N,4,5132299.3,434348.6
14492,2015,1063,1,\N,4,5132824.3,434738.6
14492,2015,39,1,\N,4,5132299.3,434363.6
14492,2015,1064,1,\N,4,5132824.3,434753.6
14492,2015,1066,1,\N,4,5132824.3,434783.6
14492,2015,43,1,\N,4,5132299.3,434423.6
14492,2015,2092,1,\N,4,5133199.3,434948.6
14492,2015,2093,1,\N,1,5133199.3,434963.6
14492,2015,2096,1,\N,1,5133199.3,435008.6
14492,2015,1075,1,\N,2,5132824.3,434918.6
14492,2015,52,2,5.0,4,5132314.3,434393.6
14492,2015,2101,1,\N,3,5133199.3,435083.6
14492,2015,57,1,\N,4,5132314.3,434468.6
14492,2015,1083,1,\N,1,5132839.3,434468.6
14492,2015,61,2,7.0,4,5132329.3,434333.6
14492,2015,2109,1,\N,1,5133214.3,434558.6
14492,2015,1086,1,\N,3,5132839.3,434513.6
14492,2015,2110,1,\N,1,5133214.3,434573.6
14492,2015,1090,1,\N,2,5132839.3,434573.6
14492,2015,66,1,\N,4,5132329.3,434408.6
14492,2015,1092,1,\N,2,5132839.3,434603.6
14492,2015,71,1,\N,2,5132329.3,434483.6
14492,2015,1095,1,\N,4,5132839.3,434648.6
14492,2015,2121,1,\N,2,5133214.3,434738.6
14492,2015,1098,1,\N,4,5132839.3,434693.6
14492,2015,2122,1,\N,2,5133214.3,434753.6
14492,2015,1099,2,1.0,4,5132839.3,434708.6
14492,2015,2123,1,\N,2,5133214.3,434768.6
14492,2015,3148,1,\N,1,5133529.3,435038.6
14492,2015,76,2,4.0,4,5132344.3,434348.6
14492,2015,1101,2,14.0,4,5132839.3,434738.6
14492,2015,2125,1,\N,3,5133214.3,434798.6
14492,2015,2126,1,\N,2,5133214.3,434813.6
14492,2015,1103,2,1.0,4,5132839.3,434768.6
14492,2015,2127,1,\N,2,5133214.3,434828.6
14492,2015,2128,1,\N,2,5133214.3,434843.6
14492,2015,80,1,\N,4,5132344.3,434408.6
14492,2015,81,3,4.5,4,5132344.3,434423.6
14492,2015,1106,1,\N,4,5132839.3,434813.6
14492,2015,3154,1,\N,2,5133529.3,435128.6
14492,2015,3155,1,\N,2,5133529.3,435143.6
14492,2015,2131,1,\N,4,5133214.3,434888.6
14492,2015,2132,1,\N,4,5133214.3,434903.6
14492,2015,2135,1,\N,4,5133214.3,434948.6
14492,2015,2136,1,\N,4,5133214.3,434963.6
14492,2015,89,1,\N,4,5132344.3,434543.6
14492,2015,93,1,\N,4,5132359.3,434363.6
14492,2015,1118,1,\N,2,5132839.3,434993.6
14492,2015,2142,1,\N,3,5133214.3,435053.6
14492,2015,1119,2,6.0,3,5132839.3,435008.6
14492,2015,96,1,\N,4,5132359.3,434408.6
14492,2015,97,1,\N,4,5132359.3,434423.6
14492,2015,98,1,\N,4,5132359.3,434438.6
14492,2015,2150,1,\N,1,5133229.3,434513.6
14492,2015,1127,2,7.0,3,5132854.3,434558.6
14492,2015,2152,1,\N,1,5133229.3,434543.6
14492,2015,3179,1,\N,3,5133544.3,434693.6
14492,2015,1133,2,9.0,4,5132854.3,434648.6
14492,2015,110,1,\N,4,5132374.3,434363.6
14492,2015,111,2,5.0,4,5132374.3,434378.6
14492,2015,112,1,\N,4,5132374.3,434393.6
14492,2015,1137,1,\N,4,5132854.3,434708.6
14492,2015,114,1,\N,4,5132374.3,434423.6
14492,2015,1139,6,2.4,4,5132854.3,434738.6
14492,2015,1141,1,\N,4,5132854.3,434768.6
14492,2015,118,1,\N,4,5132374.3,434483.6
14492,2015,1144,1,\N,4,5132854.3,434813.6
14492,2015,1145,2,8.0,4,5132854.3,434828.6
14492,2015,2169,1,\N,2,5133229.3,434798.6
14492,2015,123,1,\N,4,5132374.3,434558.6
14492,2015,3197,1,\N,1,5133544.3,434963.6
14492,2015,2175,2,12.0,4,5133229.3,434888.6
14492,2015,1151,1,\N,2,5132854.3,434918.6
14492,2015,128,1,\N,4,5132389.3,434378.6
14492,2015,1153,1,\N,2,5132854.3,434948.6
14492,2015,2179,1,\N,4,5133229.3,434948.6
14492,2015,1156,1,\N,3,5132854.3,434993.6
14492,2015,1157,3,2.0,3,5132854.3,435008.6
14492,2015,1160,1,\N,2,5132869.3,434483.6
14492,2015,2186,1,\N,1,5133229.3,435053.6
14492,2015,1163,1,\N,3,5132869.3,434528.6
14492,2015,139,1,\N,4,5132389.3,434543.6
14492,2015,1165,1,\N,3,5132869.3,434558.6
14492,2015,142,1,\N,4,5132389.3,434588.6
14492,2015,3214,1,\N,2,5133559.3,434393.6
14492,2015,2192,1,\N,1,5133244.3,434483.6
14492,2015,1169,1,\N,4,5132869.3,434618.6
14492,2015,2194,1,\N,1,5133244.3,434513.6
14492,2015,1173,4,2.3333333333333335,4,5132869.3,434678.6
14492,2015,1175,2,9.0,4,5132869.3,434708.6
14492,2015,151,1,\N,4,5132404.3,434438.6
14492,2015,1176,1,\N,4,5132869.3,434723.6
14492,2015,152,1,\N,4,5132404.3,434453.6
14492,2015,153,1,\N,4,5132404.3,434468.6
14492,2015,3226,1,\N,1,5133559.3,434573.6
14492,2015,154,1,\N,4,5132404.3,434483.6
14492,2015,156,2,9.0,4,5132404.3,434513.6
14492,2015,158,2,2.0,4,5132404.3,434543.6
14492,2015,2207,1,\N,2,5133244.3,434708.6
14492,2015,2209,1,\N,2,5133244.3,434738.6
14492,2015,1186,1,\N,2,5132869.3,434873.6
14492,2015,168,3,3.5,3,5132419.3,434393.6
14492,2015,1193,1,\N,3,5132869.3,434978.6
14492,2015,3241,2,13.0,3,5133559.3,434798.6
14492,2015,1194,2,2.0,3,5132869.3,434993.6
14492,2015,2218,1,\N,4,5133244.3,434873.6
14492,2015,1195,1,\N,3,5132869.3,435008.6
14492,2015,2220,1,\N,4,5133244.3,434903.6
14492,2015,3246,2,8.0,3,5133559.3,434873.6
14492,2015,2222,1,\N,4,5133244.3,434933.6
14492,2015,3247,1,\N,3,5133559.3,434888.6
14492,2015,1203,1,\N,3,5132884.3,434543.6
14492,2015,2230,1,\N,1,5133244.3,435053.6
14492,2015,184,1,\N,4,5132419.3,434633.6
14492,2015,1212,2,10.0,4,5132884.3,434678.6
14492,2015,189,2,7.0,3,5132434.3,434393.6
14492,2015,1213,1,\N,4,5132884.3,434693.6
14492,2015,2239,1,\N,1,5133259.3,434528.6
14492,2015,1216,1,\N,4,5132884.3,434738.6
14492,2015,3265,1,\N,4,5133559.3,435158.6
14492,2015,1217,1,\N,2,5132884.3,434753.6
14492,2015,195,1,\N,2,5132434.3,434483.6
14492,2015,196,1,\N,4,5132434.3,434498.6
14492,2015,1220,1,\N,4,5132884.3,434798.6
14492,2015,1222,2,8.0,4,5132884.3,434828.6
14492,2015,1223,2,8.0,4,5132884.3,434843.6
14492,2015,2247,1,\N,2,5133259.3,434648.6
14492,2015,1224,1,\N,2,5132884.3,434858.6
14492,2015,2248,1,\N,2,5133259.3,434663.6
14492,2015,2249,1,\N,2,5133259.3,434678.6
14492,2015,201,1,\N,4,5132434.3,434573.6
14492,2015,202,1,\N,2,5132434.3,434588.6
14492,2015,206,2,2.0,4,5132434.3,434648.6
14492,2015,208,1,\N,4,5132434.3,434678.6
14492,2015,3280,1,\N,1,5133574.3,434543.6
14492,2015,2257,1,\N,3,5133259.3,434798.6
14492,2015,209,1,\N,4,5132434.3,434693.6
14492,2015,212,1,\N,3,5132449.3,434408.6
14492,2015,1237,1,\N,2,5132899.3,434468.6
14492,2015,1239,1,\N,2,5132899.3,434498.6
14492,2015,2263,2,1.0,4,5133259.3,434888.6
14492,2015,3289,1,\N,4,5133574.3,434678.6
14492,2015,2267,1,\N,4,5133259.3,434948.6
14492,2015,3292,1,\N,2,5133574.3,434723.6
14492,2015,1246,2,2.0,4,5132899.3,434603.6
14492,2015,3295,1,\N,2,5133574.3,434768.6
14492,2015,1251,1,\N,4,5132899.3,434678.6
14492,2015,3301,1,\N,3,5133574.3,434858.6
14492,2015,229,1,\N,3,5132449.3,434663.6
14492,2015,230,1,\N,3,5132449.3,434678.6
14492,2015,1255,1,\N,2,5132899.3,434738.6
14492,2015,1256,1,\N,2,5132899.3,434753.6
14492,2015,3306,1,\N,1,5133574.3,434933.6
14492,2015,1258,1,\N,2,5132899.3,434783.6
14492,2015,236,1,\N,3,5132464.3,434408.6
14492,2015,1265,1,\N,2,5132899.3,434888.6
14492,2015,2289,1,\N,2,5133274.3,434618.6
14492,2015,1266,1,\N,2,5132899.3,434903.6
14492,2015,2291,1,\N,2,5133274.3,434648.6
14492,2015,1270,1,\N,3,5132899.3,434963.6
14492,2015,1271,1,\N,3,5132899.3,434978.6
14492,2015,1273,1,\N,3,5132899.3,435008.6
14492,2015,1274,1,\N,4,5132899.3,435023.6
14492,2015,2300,1,\N,3,5133274.3,434783.6
14492,2015,1277,1,\N,2,5132914.3,434483.6
14492,2015,3326,1,\N,3,5133589.3,434378.6
14492,2015,1280,1,\N,4,5132914.3,434528.6
14492,2015,1281,1,\N,4,5132914.3,434543.6
14492,2015,258,1,\N,4,5132464.3,434738.6
14492,2015,2307,1,\N,4,5133274.3,434888.6
