Cow_id, Years, Number_of_Pixels, average days the cow visited in each pixel in this year, average interval days the cow visited back in each pixel
14492,2015,100,2.38,5.168878787878787
14493,2015,93,2.3978494623655915,5.053942652329749
14539,2015,74,2.22972972972973,5.6061776061776065
14616,2015,79,2.240506329113924,5.374824191279888
14540,2015,92,2.4347826086956523,5.203894927536232
14771,2015,145,2.43448275862069,5.097257799671593
14681,2015,83,2.3132530120481927,5.778714859437751
14504,2015,67,2.4328358208955225,5.886235489220564
14527,2015,108,2.240740740740741,5.639329805996474
14723,2015,90,2.3,5.653086419753087
