Cow_id,Pixel ID,Number of visited times,time spent,Vegetation class,Northing,Easting
14492,1,237,1185,4,5132194.3,434273.6
14492,2,121,605,4,5132209.3,434273.6
14492,2050,2,10,1,5133184.3,434963.6
14492,3,104,520,4,5132209.3,434288.6
14492,2051,1,5,1,5133184.3,434978.6
14492,4,8,40,4,5132224.3,434273.6
14492,5,1,5,4,5132224.3,434288.6
14492,6,2,10,4,5132224.3,434303.6
14492,8,4,20,4,5132239.3,434288.6
14492,16,1,5,4,5132254.3,434348.6
14492,19,3,15,4,5132269.3,434303.6
14492,20,1,5,4,5132269.3,434318.6
14492,2069,1,5,1,5133199.3,434603.6
14492,23,1,5,4,5132269.3,434363.6
14492,2075,1,5,2,5133199.3,434693.6
14492,28,1,5,4,5132284.3,434333.6
14492,29,2,10,4,5132284.3,434348.6
14492,2077,2,10,2,5133199.3,434723.6
14492,30,1,5,4,5132284.3,434363.6
14492,31,3,15,4,5132284.3,434378.6
14492,2080,1,5,2,5133199.3,434768.6
14492,32,1,5,4,5132284.3,434393.6
14492,2081,6,30,4,5133199.3,434783.6
14492,33,1,5,4,5132284.3,434408.6
14492,36,13,65,4,5132299.3,434318.6
14492,37,1,5,4,5132299.3,434333.6
14492,2086,1,5,2,5133199.3,434858.6
14492,38,1,5,4,5132299.3,434348.6
14492,39,4,20,4,5132299.3,434363.6
14492,2087,1,5,2,5133199.3,434873.6
14492,40,1,5,4,5132299.3,434378.6
14492,43,1,5,4,5132299.3,434423.6
14492,2092,2,10,4,5133199.3,434948.6
14492,2093,1,5,1,5133199.3,434963.6
14492,48,1,5,4,5132314.3,434333.6
14492,2096,1,5,1,5133199.3,435008.6
14492,2099,2,10,3,5133199.3,435053.6
14492,52,2,10,4,5132314.3,434393.6
14492,2101,1,5,3,5133199.3,435083.6
14492,57,1,5,4,5132314.3,434468.6
14492,61,4,20,4,5132329.3,434333.6
14492,2109,1,5,1,5133214.3,434558.6
14492,2110,1,5,1,5133214.3,434573.6
14492,2111,1,5,1,5133214.3,434588.6
14492,66,1,5,4,5132329.3,434408.6
14492,2118,2,10,2,5133214.3,434693.6
14492,71,1,5,2,5132329.3,434483.6
14492,2120,1,5,2,5133214.3,434723.6
14492,2121,1,5,2,5133214.3,434738.6
14492,2122,1,5,2,5133214.3,434753.6
14492,2123,9,45,2,5133214.3,434768.6
14492,2124,1,5,2,5133214.3,434783.6
14492,76,2,10,4,5132344.3,434348.6
14492,2125,1,5,3,5133214.3,434798.6
14492,2126,1,5,2,5133214.3,434813.6
14492,78,1,5,4,5132344.3,434378.6
14492,2127,1,5,2,5133214.3,434828.6
14492,2128,1,5,2,5133214.3,434843.6
14492,80,1,5,4,5132344.3,434408.6
14492,81,3,15,4,5132344.3,434423.6
14492,2131,1,5,4,5133214.3,434888.6
14492,2132,1,5,4,5133214.3,434903.6
14492,2135,1,5,4,5133214.3,434948.6
14492,2136,1,5,4,5133214.3,434963.6
14492,89,1,5,4,5132344.3,434543.6
14492,92,1,5,2,5132359.3,434348.6
14492,93,4,20,4,5132359.3,434363.6
14492,2142,2,10,3,5133214.3,435053.6
14492,94,8,40,4,5132359.3,434378.6
14492,96,2,10,4,5132359.3,434408.6
14492,97,1,5,4,5132359.3,434423.6
14492,98,1,5,4,5132359.3,434438.6
14492,2150,1,5,1,5133229.3,434513.6
14492,2151,1,5,1,5133229.3,434528.6
14492,2152,1,5,1,5133229.3,434543.6
14492,106,1,5,4,5132359.3,434558.6
14492,110,2,10,4,5132374.3,434363.6
14492,111,2,10,4,5132374.3,434378.6
14492,112,2,10,4,5132374.3,434393.6
14492,113,3,15,4,5132374.3,434408.6
14492,2161,1,5,2,5133229.3,434678.6
14492,114,1,5,4,5132374.3,434423.6
14492,118,1,5,4,5132374.3,434483.6
14492,2168,1,5,2,5133229.3,434783.6
14492,2169,1,5,2,5133229.3,434798.6
14492,123,2,10,4,5132374.3,434558.6
14492,2175,4,20,4,5133229.3,434888.6
14492,128,3,15,4,5132389.3,434378.6
14492,130,1,5,4,5132389.3,434408.6
14492,2179,1,5,4,5133229.3,434948.6
14492,2186,1,5,1,5133229.3,435053.6
14492,139,1,5,4,5132389.3,434543.6
14492,142,1,5,4,5132389.3,434588.6
14492,2192,1,5,1,5133244.3,434483.6
14492,2194,1,5,1,5133244.3,434513.6
14492,151,1,5,4,5132404.3,434438.6
14492,152,1,5,4,5132404.3,434453.6
14492,153,1,5,4,5132404.3,434468.6
14492,154,1,5,4,5132404.3,434483.6
14492,2203,1,5,2,5133244.3,434648.6
14492,156,2,10,4,5132404.3,434513.6
14492,2204,2,10,2,5133244.3,434663.6
14492,2205,2,10,2,5133244.3,434678.6
14492,158,2,10,4,5132404.3,434543.6
14492,2207,1,5,2,5133244.3,434708.6
14492,2209,1,5,2,5133244.3,434738.6
14492,2214,1,5,3,5133244.3,434813.6
14492,168,4,20,3,5132419.3,434393.6
14492,2218,1,5,4,5133244.3,434873.6
14492,2220,1,5,4,5133244.3,434903.6
14492,2222,1,5,4,5133244.3,434933.6
14492,2230,1,5,1,5133244.3,435053.6
14492,184,1,5,4,5132419.3,434633.6
14492,189,2,10,3,5132434.3,434393.6
14492,2238,1,5,1,5133259.3,434513.6
14492,2239,3,15,1,5133259.3,434528.6
14492,195,1,5,2,5132434.3,434483.6
14492,196,1,5,4,5132434.3,434498.6
14492,2246,1,5,2,5133259.3,434633.6
14492,2247,2,10,2,5133259.3,434648.6
14492,2248,1,5,2,5133259.3,434663.6
14492,2249,3,15,2,5133259.3,434678.6
14492,201,1,5,4,5132434.3,434573.6
14492,202,1,5,2,5132434.3,434588.6
14492,206,2,10,4,5132434.3,434648.6
14492,208,1,5,4,5132434.3,434678.6
14492,2257,1,5,3,5133259.3,434798.6
14492,209,1,5,4,5132434.3,434693.6
14492,212,2,10,3,5132449.3,434408.6
14492,2263,2,10,4,5133259.3,434888.6
14492,2267,1,5,4,5133259.3,434948.6
14492,2269,1,5,4,5133259.3,434978.6
14492,2271,1,5,3,5133259.3,435008.6
14492,229,1,5,3,5132449.3,434663.6
14492,230,1,5,3,5132449.3,434678.6
14492,2283,1,5,1,5133274.3,434528.6
14492,236,1,5,3,5132464.3,434408.6
14492,2289,1,5,2,5133274.3,434618.6
14492,2291,17,85,2,5133274.3,434648.6
14492,2293,1,5,2,5133274.3,434678.6
14492,2300,1,5,3,5133274.3,434783.6
14492,258,1,5,4,5132464.3,434738.6
14492,2307,1,5,4,5133274.3,434888.6
14492,2312,2,10,4,5133274.3,434963.6
14492,2315,3,15,3,5133274.3,435008.6
14492,267,1,5,4,5132479.3,434513.6
14492,2317,1,5,3,5133274.3,435038.6
14492,2321,1,5,1,5133274.3,435098.6
14492,2328,2,10,1,5133289.3,434528.6
14492,281,1,5,4,5132479.3,434723.6
14492,284,1,5,4,5132479.3,434768.6
14492,2334,17,85,2,5133289.3,434618.6
14492,2335,1,5,2,5133289.3,434633.6
14492,289,1,5,2,5132494.3,434453.6
14492,2337,1,5,2,5133289.3,434663.6
14492,2338,3,15,2,5133289.3,434678.6
14492,292,1,5,2,5132494.3,434498.6
14492,2341,1,5,3,5133289.3,434723.6
14492,2342,1,5,3,5133289.3,434738.6
14492,294,2,10,2,5132494.3,434528.6
14492,296,2,10,2,5132494.3,434558.6
14492,2344,1,5,3,5133289.3,434768.6
14492,2345,1,5,3,5133289.3,434783.6
14492,297,1,5,4,5132494.3,434573.6
14492,2346,1,5,3,5133289.3,434798.6
14492,2347,1,5,4,5133289.3,434813.6
14492,2348,1,5,4,5133289.3,434828.6
14492,301,1,5,4,5132494.3,434633.6
14492,303,1,5,4,5132494.3,434663.6
14492,2352,2,10,4,5133289.3,434888.6
14492,2354,1,5,4,5133289.3,434918.6
14492,306,1,5,4,5132494.3,434708.6
14492,308,1,5,4,5132494.3,434738.6
14492,2357,1,5,4,5133289.3,434963.6
14492,2358,4,20,3,5133289.3,434978.6
14492,2359,1,5,3,5133289.3,434993.6
14492,312,1,5,4,5132494.3,434798.6
14492,2361,2,10,4,5133289.3,435023.6
14492,323,7,35,2,5132509.3,434558.6
14492,329,1,5,4,5132509.3,434648.6
14492,330,1,5,4,5132509.3,434663.6
14492,2384,2,10,3,5133304.3,434693.6
14492,2390,1,5,3,5133304.3,434783.6
14492,2391,2,10,4,5133304.3,434798.6
14492,345,1,5,2,5132524.3,434483.6
14492,349,1,5,2,5132524.3,434543.6
14492,2397,3,15,4,5133304.3,434888.6
14492,350,1,5,4,5132524.3,434558.6
14492,2399,1,5,4,5133304.3,434918.6
14492,2403,1,5,3,5133304.3,434978.6
14492,2404,1,5,3,5133304.3,434993.6
14492,357,1,5,4,5132524.3,434663.6
14492,2411,1,5,3,5133304.3,435098.6
14492,363,1,5,2,5132524.3,434753.6
14492,2414,1,5,1,5133319.3,434468.6
14492,2415,1,5,1,5133319.3,434483.6
14492,369,1,5,2,5132524.3,434843.6
14492,2418,1,5,1,5133319.3,434528.6
14492,372,1,5,2,5132539.3,434453.6
14492,373,1,5,2,5132539.3,434468.6
14492,2421,1,5,3,5133319.3,434573.6
14492,2425,1,5,2,5133319.3,434633.6
14492,379,1,5,4,5132539.3,434558.6
14492,382,2,10,4,5132539.3,434603.6
14492,387,1,5,2,5132539.3,434678.6
14492,2439,1,5,4,5133319.3,434843.6
14492,2441,1,5,4,5133319.3,434873.6
14492,393,2,10,4,5132539.3,434768.6
14492,2442,2,10,4,5133319.3,434888.6
14492,2445,3,15,4,5133319.3,434933.6
14492,2446,1,5,4,5133319.3,434948.6
14492,2447,1,5,3,5133319.3,434963.6
14492,399,1,5,2,5132539.3,434858.6
14492,2449,1,5,3,5133319.3,434993.6
14492,2450,1,5,3,5133319.3,435008.6
14492,403,1,5,2,5132554.3,434468.6
14492,2452,1,5,3,5133319.3,435038.6
14492,2453,37,185,3,5133319.3,435053.6
14492,405,1,5,3,5132554.3,434498.6
14492,2454,1,5,3,5133319.3,435068.6
14492,406,1,5,3,5132554.3,434513.6
14492,407,3,15,4,5132554.3,434528.6
14492,408,3,15,4,5132554.3,434543.6
14492,409,1,5,4,5132554.3,434558.6
14492,2463,1,5,1,5133334.3,434528.6
14492,2464,1,5,1,5133334.3,434543.6
14492,417,2,10,2,5132554.3,434678.6
14492,2467,80,400,3,5133334.3,434588.6
